date,f
2017-01-01,-0.04079485714285714
2017-01-02,-0.038026078571428576
2017-01-03,-0.0352573
2017-01-04,-0.03296531428571428
2017-01-05,-0.03067332857142857
2017-01-06,-0.028381342857142857
2017-01-07,-0.026089357142857143
2017-01-08,-0.023797371428571426
2017-01-09,-0.021505385714285716
2017-01-10,-0.0192134
2017-01-11,-0.01778101
2017-01-12,-0.01634862
2017-01-13,-0.014916229999999999
2017-01-14,-0.01348384
2017-01-15,-0.01205145
2017-01-16,-0.010619060000000001
2017-01-17,-0.009186670000000001
2017-01-18,-0.008790704285714287
2017-01-19,-0.008394738571428572
2017-01-20,-0.007998772857142858
2017-01-21,-0.007602807142857143
2017-01-22,-0.007206841428571429
2017-01-23,-0.006810875714285715
2017-01-24,-0.00641491
2017-01-25,-0.005454774428571429
2017-01-26,-0.004494638857142857
2017-01-27,-0.003534503285714286
2017-01-28,-0.0025743677142857145
2017-01-29,-0.001614232142857143
2017-01-30,-6.540965714285718e-4
2017-01-31,3.06039e-4
2017-02-01,8.125177142857141e-4
2017-02-02,0.0013189964285714284
2017-02-03,0.0018254751428571426
2017-02-04,0.002331953857142857
2017-02-05,0.0028384325714285717
2017-02-06,0.0033449112857142855
2017-02-07,0.00385139
2017-02-08,0.005530198571428571
2017-02-09,0.007209007142857143
2017-02-10,0.008887815714285714
2017-02-11,0.010566624285714286
2017-02-12,0.012245432857142857
2017-02-13,0.013924241428571429
2017-02-14,0.01560305
2017-02-15,0.014654742857142857
2017-02-16,0.013706435714285715
2017-02-17,0.012758128571428572
2017-02-18,0.01180982142857143
2017-02-19,0.010861514285714286
2017-02-20,0.009913207142857145
2017-02-21,0.008964900000000001
2017-02-22,0.010565607142857144
2017-02-23,0.012166314285714287
2017-02-24,0.01376702142857143
2017-02-25,0.015367728571428572
2017-02-26,0.016968435714285714
2017-02-27,0.018569142857142857
2017-02-28,0.02016985
2017-03-01,0.021476742857142857
2017-03-02,0.022783635714285714
2017-03-03,0.02409052857142857
2017-03-04,0.025397421428571428
2017-03-05,0.026704314285714285
2017-03-06,0.028011207142857143
2017-03-07,0.0293181
2017-03-08,0.02809897142857143
2017-03-09,0.026879842857142858
2017-03-10,0.025660714285714287
2017-03-11,0.024441585714285716
2017-03-12,0.023222457142857145
2017-03-13,0.022003328571428574
2017-03-14,0.020784200000000003
2017-03-15,0.019431785714285717
2017-03-16,0.018079371428571432
2017-03-17,0.016726957142857143
2017-03-18,0.015374542857142858
2017-03-19,0.014022128571428573
2017-03-20,0.012669714285714288
2017-03-21,0.0113173
2017-03-22,0.011017772142857143
2017-03-23,0.010718244285714286
2017-03-24,0.010418716428571428
2017-03-25,0.010119188571428572
2017-03-26,0.009819660714285715
2017-03-27,0.009520132857142857
2017-03-28,0.009220605
2017-03-29,0.009716754285714285
2017-03-30,0.010212903571428572
2017-03-31,0.010709052857142857
2017-04-01,0.011205202142857144
2017-04-02,0.011701351428571429
2017-04-03,0.012197500714285714
2017-04-04,0.01269365
2017-04-05,0.0109970015
2017-04-06,0.009300353
2017-04-07,0.0076037045
2017-04-08,0.005907056
2017-04-09,0.004210407499999999
2017-04-10,0.002513758999999999
2017-04-11,8.171105e-4
2017-04-12,0.001018631857142857
2017-04-13,0.0012201532142857143
2017-04-14,0.0014216745714285715
2017-04-15,0.0016231959285714285
2017-04-16,0.0018247172857142858
2017-04-17,0.002026238642857143
2017-04-18,0.00222776
2017-04-19,0.0026273492857142857
2017-04-20,0.0030269385714285714
2017-04-21,0.003426527857142857
2017-04-22,0.0038261171428571428
2017-04-23,0.004225706428571428
2017-04-24,0.004625295714285714
2017-04-25,0.005024885
2017-04-26,0.003729105
2017-04-27,0.002433325
2017-04-28,0.0011375450000000002
2017-04-29,-1.5823499999999963e-4
2017-04-30,-0.0014540149999999995
2017-05-01,-0.0027497949999999993
2017-05-02,-0.004045575
2017-05-03,-0.003307889285714286
2017-05-04,-0.0025702035714285716
2017-05-05,-0.0018325178571428576
2017-05-06,-0.0010948321428571432
2017-05-07,-3.571464285714288e-4
2017-05-08,3.8053928571428475e-4
2017-05-09,0.001118225
2017-05-10,1.980964285714287e-4
2017-05-11,-7.220321428571426e-4
2017-05-12,-0.001642160714285714
2017-05-13,-0.0025622892857142853
2017-05-14,-0.003482417857142857
2017-05-15,-0.004402546428571429
2017-05-16,-0.005322675
2017-05-17,-0.005600242857142857
2017-05-18,-0.005877810714285715
2017-05-19,-0.0061553785714285715
2017-05-20,-0.0064329464285714285
2017-05-21,-0.006710514285714286
2017-05-22,-0.006988082142857142
2017-05-23,-0.00726565
2017-05-24,-0.007546076428571429
2017-05-25,-0.007826502857142857
2017-05-26,-0.008106929285714286
2017-05-27,-0.008387355714285713
2017-05-28,-0.008667782142857142
2017-05-29,-0.00894820857142857
2017-05-30,-0.009228634999999999
2017-05-31,-0.009777065714285714
2017-06-01,-0.010325496428571428
2017-06-02,-0.010873927142857141
2017-06-03,-0.011422357857142856
2017-06-04,-0.01197078857142857
2017-06-05,-0.012519219285714285
2017-06-06,-0.01306765
2017-06-07,-0.012862485714285714
2017-06-08,-0.01265732142857143
2017-06-09,-0.012452157142857143
2017-06-10,-0.012246992857142857
2017-06-11,-0.01204182857142857
2017-06-12,-0.011836664285714286
2017-06-13,-0.0116315
2017-06-14,-0.012592885714285714
2017-06-15,-0.013554271428571428
2017-06-16,-0.014515657142857142
2017-06-17,-0.015477042857142857
2017-06-18,-0.016438428571428573
2017-06-19,-0.017399814285714285
2017-06-20,-0.0183612
2017-06-21,-0.017895042857142857
