date,econ_index,econ_index_se,f_gdp,f_gdp_se,f_potus,f_potus_se
1992-07-21,0.030253895500000003,0.048757940850388336,2.6131104,0.2001962625077263,0.011850885,0.02157234268231558
1992-07-28,0.0345716905,0.06098603523682531,2.6505215499999997,0.22465424880713136,0.0127639235,0.021968994426439417
1992-08-04,0.0631872815,0.07293879334990505,2.7295781999999997,0.23757116771938808,0.014228197500000001,0.022107351789540992
1992-08-11,0.0849412615,0.0841113857254776,2.80500845,0.24562357954002162,0.015442745,0.02237045255408974
1992-08-18,0.11175287,0.09332013342113198,2.91264625,0.2575500555909774,0.0167210155,0.02276810602766636
1992-08-25,0.12387192999999999,0.11081924956163008,2.9540028,0.28487952091408925,0.017373385999999998,0.022943272003131655
1992-09-01,0.133205085,0.11879342959748736,3.00106775,0.3078669807377849,0.017313777,0.022943056187454937
1992-09-08,0.14951571000000002,0.12519709260197026,3.0634985500000003,0.29857483995544604,0.0184144005,0.023239793376508146
1992-09-15,0.135976455,0.12025827752576633,3.0169627500000002,0.2895058725676678,0.0177532615,0.022904531146924145
1992-09-22,0.127065915,0.11979592634323803,2.97810165,0.289584957219842,0.0172654145,0.022920773252195218
1992-09-29,0.130817865,0.12442065462555214,2.97791005,0.33005347250712447,0.017765596,0.023246550522475113
1992-10-06,0.13198582,0.11670463244607895,2.9948873000000003,0.30462885509831605,0.017861222500000003,0.02347085912924726
1992-10-13,0.128861085,0.12041930191502713,2.9917873,0.3038444105662137,0.017654318500000002,0.023481054689109992
1992-10-20,0.128932445,0.12312275818222694,2.9855079,0.30144472018736784,0.0178589055,0.023446882268984073
1992-10-27,0.12735093,0.12494900344719367,2.9809084,0.3029912077841509,0.017749249,0.023320545176691986
1992-11-03,0.115638255,0.11964594341224377,2.94234285,0.270167054158321,0.016738461,0.023123917104687197
1992-11-10,0.12125452,0.11911115215882685,2.9606605999999998,0.286744985598056,0.0173306545,0.0229728666774377
1992-11-17,0.111088325,0.10769775273807565,2.9170333,0.2505033016816384,0.016546239,0.023047105550625276
1992-11-24,0.1156153,0.11120016466254322,2.9507947999999997,0.2865927715121969,0.0171225515,0.02292039216940507
1992-12-01,0.109141585,0.11455003279875085,2.9268853999999997,0.31678269403017567,0.0163718125,0.02325332551598844
1992-12-08,0.111183485,0.09459534665556253,2.9135501,0.22647757755957554,0.0158610595,0.022779650498538532
1992-12-15,0.0947606705,0.09406729147484628,2.85853305,0.2303374124677678,0.0153896095,0.022712343916598023
1992-12-22,0.09559206749999999,0.09218081158389203,2.8643753,0.2532216111521564,0.015814847,0.022927152391579674
1992-12-29,0.0938072485,0.0974517784331263,2.84880045,0.29503396281246136,0.015613132,0.023297508526318983
1993-01-05,0.107680075,0.09984554144261172,2.8970295,0.2605051438464623,0.016445435,0.022827563448621805
1993-01-12,0.099066829,0.09700600728925413,2.8603233,0.25077308945643456,0.0160538475,0.022735278133215266
1993-01-19,0.10060867500000001,0.09390889391543322,2.8732503,0.2543340509319534,0.016378257,0.022620019139933074
1993-01-26,0.095510069,0.08971133957262423,2.848903,0.23375276177600107,0.015589114000000001,0.022529561688042092
1993-02-02,0.095267976,0.091021173104428435,2.8469507,0.2350870988590443,0.015050988500000001,0.02257837610122745
1993-02-09,0.0863125285,0.08199564076619663,2.8175983999999996,0.2264924079515374,0.0149699085,0.022604232162808418
1993-02-16,0.07683174000000001,0.08108808893986448,2.7807624,0.23003416561339107,0.0140493225,0.02273026993161546
1993-02-23,0.078481295,0.07588419232728749,2.78538675,0.214858514360641,0.0142211895,0.022400984318269358
1993-03-02,0.0755339875,0.07324416370201119,2.7757915,0.21678688170988353,0.014081172,0.02213955030717984
1993-03-09,0.07469540999999999,0.06266249217946204,2.76512835,0.1969461994467433,0.014064138,0.02194230031268399
1993-03-16,0.052974259999999995,0.05750055357076546,2.6834520499999996,0.19329494882604015,0.012655325,0.022003620530779328
1993-03-23,0.046802708,0.05571601438466854,2.6827769999999997,0.19312255985678817,0.012388851,0.02199791509451414
1993-03-30,0.0409862035,0.07121808083026843,2.6715603,0.21905504272140927,0.0126062895,0.0219161679609195
1993-04-06,0.0521826715,0.06156827734141392,2.6986527000000002,0.19964577608818354,0.012826249,0.02184839782166306
1993-04-13,0.052900068499999994,0.060378216581123086,2.7031004000000003,0.20316229042313877,0.0126900005,0.022025978940160323
1993-04-20,0.061597671,0.07183029032301319,2.73333595,0.20704183921212022,0.0136476195,0.02186233802413851
1993-04-27,0.0656635435,0.07015748480696715,2.7511419999999998,0.21776546906461067,0.014263114,0.021902356548060727
1993-05-04,0.06278634699999999,0.07327474729087026,2.73618905,0.23834246316560476,0.0142333625,0.02253233145045161
1993-05-11,0.074582441,0.07848571402547085,2.7692762,0.21598949343452475,0.014615151,0.02229985351772085
1993-05-18,0.08063158449999999,0.08210655122965917,2.7998875500000002,0.21960409627842373,0.0144997115,0.02228750637978523
